仰ぎ見る,あおぎみる,"смотреть вверх | уважать кого-то, смотреть с почтением ",仰ぐ,見る,VV,tr,,"2|私は彼を師匠と仰ぎ見ている。|わたしはかれをししょうと仰ぎ見ている。| Я смотрю на него с уважением, как на своего наставника.",,
あふれ出す,あふれだす,переливаться через край,あふれる,出す,VV,intr,水がバケツからあふれ出した。|水がバケツからあふれ出した。|Вода перепивалась через края ведра,,,
編み上げる,あみあげる,Заканчивать вязание,編む,上げる,VV,tr,彼女はマフラーを編み上げた。|彼女はマフラーを編み上げた。|Она закончила вязать шарф.,,,
編み上がる,あみあがる,"Заканчиваться о вязании, быть связаным",編む,上がる,VV,intr,セーターが編み上がった。|セーターが編み上がった。|Свитер связан.,,,
編み合わせる,あみあわせる,"Переплетать, связывать части при вязании (спицами, крючком)",編む,合わせる,VV,tr,セーターは、２つのパターンを編み合わせて作られている。|セーターは、２つのパターンを編み合わせて作られている。|Этот свитер связан с переплетением двух деталей,,,
編み込む,あみこむ,"вплетать, заплетать (волосы, ткань, шерстяные нити), выткать, сплетать",編む,込む,VV,tr,髪を編み込む。|かみを編み込む。|Заплетать волосы.,,,
編み出す,あみだす,"Начать вязать или плести | выдумать, изобретать",編む,出す,VV,tr,,2|独自の技法を編み出す|どくじのぎほうをあみだす| придумывать оригинальные методы,,
歩み寄る,あゆみよる,"Идти навстречу | идти на компромисс, идти на взаимные уступки",歩む,寄る,VV,intr,,2|彼らは反対派に歩み寄った。|彼らははんたいはに歩み寄った。|они пошли на сближение с фракцией оппозиции,,
洗い上げる,あらいあげる,Закончить мойку или стирк | мыть тщательно | тщательно исследовать что-то,洗う,上げる,VV,tr,1|私はたくさんの洗濯物を洗い上げた。|私はたくさんのせんたくものを洗い上げた。|Я постирала целую гору вещей,,,
洗い落とす,あらいおとす,"Смыть (мыло, грязь)",洗う,落とす,VV,tr,"私はシャツに付いた泥を洗い落とした。|私はシャツについたどろうを洗い落とした。|Я смыла грязь, которая пристала к рубашке.",,,
洗い清める,あらいきよめる,"Смыть, очистить (от грязи, примесей)",洗う,清める,VV,tr,僧侶が身体を洗い清めた。|そうりょがみたいを洗い清めた。|Буддисткий монах омыл свое тело,,,
洗い出す,あらいだす,"Мыть то, что скрыто под грязью | тщательно исследовать что-то, чтобы пролить свет на ситуацию",洗う,出す,VV,tr,,2|マスコミは政治家の不正を洗い立てた。|マスコミはせいじかのふせいを洗い立てた。|Средствами массовой информации были обнаружены недобросовестные дела политика,,
洗い流す,あらいながす,"смывать под потоком жидкости, уносить течением",洗う,流す,VV,tr,彼女は髪の汚れを洗い流した。|彼女はかみのよごれを洗い流した。|Она смыла грязь с волос.,,,
有り合わせる,ありあわせる,"Находиться под рукой, в наличии",有る,合わせる,VV,tr,"母は冷蔵庫に有り合わせた材料で料理を作った。|母はれいそうこにありあわせたざいりょうでりょうりを作った。|Мама сделала блюдо из продуктов, которые лежали в холодильнике ",,,
有り触れる,ありふれる,"быть общепринятым, быть тривиальным, быть заурядным",有る,触れる,VV,intr,そのデザインはありふれている。|そのデザインはありふれている。|этот дизайн самый обычный,,,
荒れ狂う,あれくるう,"бушевать, свирепствовать словно сумасшедший",荒れる,狂う,VV,intr,海が荒れ狂った。|うみが荒れ狂った。|Море разбушевалось не на шутку.,,,
荒れ果てる,あれはてる,"полностью разрушиться, обветшать, стать руинами, прийти в запустение",荒れる,果てる,VV,intr,長い時間で町が荒れ果てた。|ながいじかんでまちが荒れ果てた。| За долгое время город стал руинами.,,,
併せ持つ,あわせもつ,"сочетать в себе; иметь и то, и другое",併せる,持つ,VV,tr,"人間は長所と短所を併せ持っている。|にんげんはちょうしょとたんしょを併せ持っている。| у людей есть и недостатки, и достоинства",,,
慌てふためく,あわてふためく,паниковать,慌てる,,VV,intr,"彼女はその知らせを聞いて慌てふためいた。|かのじょはそのしらせをきいて慌てふためいた。| она запаниковала, как услышала это известие",,,
居合わせる,いあわせる,"очутиться где-то, попасть куда-то",居る,合わせる,VV,intr,偶然、私はその店に居合わせた。|ぐうぜん、私はそのみせに居合わせた。|Неожиданно я оказался в том заведении.,,,
言い当てる,いいあてる,угадывать,言う,当てる,VV,tr,占い師は彼女の悩みを言い当てた。|うらないしはかのじょのなやみを言い当てた。|гадалка угадала о ее страданиях.,,,
言い争う,いいあらそう,"проводить диспуты, спорить, ссориться, браниться",言う,争う,VV,intr,彼女は両親と言い争った。|かのじょはりょうしんと言い争った。|Она спорила с родителями.,,,
言い表す,いいあらわす,"выражать словами, высказывать",言う,表す,VV,tr,あの映画の感想を一言で言い表すのは難しい。|あのえいがのかんそうをひとことで言い表すのはむずしい。|Впечатления от этого фильма сложно выразить вкратце,,,
言い及ぶ,いいおよぶ,"упоминать о чем-то, касаться темы, упоминать в разговоре",言う,及ぶ,VV,intr,その政治家は哲学の話に言い及んだ．。|そのせいじかはてつがくのはなしにいいおよんだ.。|Этот политик затронул философские темы в своей речи,,,
言い交わす,いいかわす,"давать друг другу слово, класться в чём-то",言う,交わす,VV,tr,彼は彼女と結婚を言い交わした。|彼はかのじょとけっこんを言い交わした。| Они обменялись брачными клятвами,,,
言い聞かせる,いいきかせる,"говорить кому-то о чем-то, убеждать, предупредить, давать наставления. Используется с прямой речью, в которой указания",言う,聞かせる,VV,tr,"母親は子供に「戦いはいけません」と言い聞かせた。|ははおやはこどもに「たたかいはいけません」と言い聞かせた。|Мама наставляла детей, что драться нехорошо",,,
言い切る,いいきる,"утверждать, определенно сказать",言う,切る,VV,intr,"彼は「反対ためだ！」と、きっぱり言い切った。|彼は「反対ためだ！」と、きっぱり言い切った。|“Это абсолютно невозможно!”, – сказал он уверенно.",,,
言いくるめる,いいくるめる,загнать кого-то в угол хитрыми разговорами,言う,くるめる,VV,tr,詐欺師はおばあさんを言いくるめた。|さぎしはおばあさんを言いくるめた。|Жулик втерся в доверие к пожилой женщине благодаря умелым разговорам,,,
言い込める,いいこめる,"переспорить в словесном поединке, припереть к стене",言う,込める,VV,tr,大学生たちが理事長を言い込めた。|だいがくせいたちがりじちょうを言い込めた。| студенты переспорили директора,,,
言い渋る,いいしぶる,"колебаться, чтобы сказать всё прямо",言う,渋る,VV,tr,彼は本当の理由を言い渋った。|彼はほんとうのりゆうを言い渋った。|Он колебался назвать истинную причину.,,,
言い捨てる,いいすてる,бросить через плечо; сказать при прощании,言う,捨てる,VV,tr,彼は「これが最後だ」と言い捨てた。|彼は「これがさいごだ」と言い捨てた。|Он бросил через плечо: “Это было в последний раз!”.,,,
言い足す,いいたす,добавить к сказанному,言う,足す,VV,tr,先生は注意点を言い足した。|先せんせいはちゅういてんを言い足した。|Учитель добавил важное замечание.,,,
言い出す,いいだす,"начинать говорить (свою мысль), поднимать тему, заговорить, вносить предложение",言う,出す,VV,tr,君が言い出したんじゃないか。|きみがいいだしたんじゃないか。|Разве не ты это предложил?,,,
言い立てる,いいたてる,"заявлять, утверждать",言う,立てる,VV,tr,彼は自分の主張を一方的に言い立てた。|彼はじぶんのしゅちょうをいっぽうてきに言い立てた。|он решительно обозначил свою точку зрения,,,
言い散らす,いいちらす,"распускать слухи | говорить всё, что вздумается",言う,散らす,VV,tr,1| 不平不満を言い散らす|ふへいふまんをいいちらす| без стеснения выражать ропот и недовольство ,2| 彼らは根も葉もないうわさを言い散らした|  かれらはねもはもないうわさをいいちらした|  они распускали беспочвенные слухи, 2| 彼は友達の悪口を言い散らした。|彼はともだちのわるぐちを言い散らした。|Он распускал нелестные слухи о своем друге.,
言い繕う,いいつくろう,отвертеться от объяснения неудач за хитрыми речами,言う,繕う,VV,tr,"彼女は、嘘がばれそうになったが、うまく言い繕った。|彼女は、うそがばれそうになったが、うまく言い繕った。|Её почти поймали на лжи, но она хорошо отвертелась.",,,
言い付ける,いいつける,"командывать, приказывать от старшего по статусу человеку ниже статусом  |  доносить на кого-то",言う,付ける,VV,tr,"1|理事長は、生徒に掃除を言い付けた。|りじちょうは、せいとにそうじを言い付けた。|Директор распорядилась, чтобы ученики сделали уборку ",,,
言い伝える,いいつたえる,"передавать (из уст в уста, из поколения в поколение), распространять сведения",言う,伝える,VV,tr,お年寄りは若者に伝説を言い伝えた。|おとしよりはわかものにでんせつを言い伝えた。|Старики рассказывали эту легенду молодым.,,,
言い募る,いいつのる,"горячо спорить, сцепиться в споре, переходить на крик",言う,募る,VV,tr,こどもたちは両親に不満を言い募った。|こどもたちはりょうしんにふまんを言い募った。|Дети начали горячо высказывать свое недовольство родителям.,,,
言い習わす,いいならわす,"передаваться в сказаниях, иметь обыкновение говорить",言う,習わす,VV,tr,日本人は信号の緑色を青と言い習わしている。|にほんじんはしんごうのみどりいろをあおと言い習わしている。|Японцы привыкли зеленый цвет называть синим.,,,
言い逃れる,いいのがれる,"умными речами отвертеться, чтобы выйти сухим из воды",言う,逃れる,VV,tr,"彼は検査官の尋問をうまく言い逃れた| かれはけんさかんのじんもんをうまくいいのがれた |  Он искуссно увернулся от вопросов следователя
",,,
言い残す,いいのこす,оставить что-то недосказанным | бросить ремарку группе людей ,言う,残す,VV,tr,"1| 私は恩師に感謝の言葉を言い残してしまった。|私はおんしにかんしゃのことばを言い残してしまった。|Осталось то, что я не сказал своему дорогому учителю",,,
言い張る,いいはる,"настаивать, утверждать",言う,張る,VV,tr,"彼らはそれが本当だと言い張った。|彼らはそれがはんとうだと言い張った。|Они настаивали, что это – истина",,,
言い含める,いいふくめる,"внушать, вводить в курс дела",言う,含める,VV,tr,上司は部下たちに責任の重さを言い含めた。|じょうしはぶかたちにせきにんのおもさを言い含めた。|Шеф обозначил важность отвественности своих подчинённых,,,
言い伏せる,いいふせる,победить человека в словесном споре,言う,伏せる,VV,tr,彼は相手を言い伏せた。|彼はあいてを言い伏せた。|он победил в споре своего соперника.,,,
言い触らす,いいふらす,"распускать слухи, разглашать, раззванивать",言う,触らす,VV,tr,彼はわざと虚偽の情報を言い触らした。|かれはわざときょぎのじょうほうをいいふらした。|Он специально распустил фальшивую информацию,,,
言い古す,いいふるす," повторять одно и то же, говорится одно и то же, говорить на избитые темы",言う,古す,VV,tr,"言い古された、ありきたりの言い方。|言い古された、ありきたりのいいかた。|То, что повторяется постоянно, становится речевым клише",,,
言い負かす,いいまかす,"переспорить, опровергнуть",言う,負かす,VV,tr,妹が姉を言い負かした。|いもうとがあねを言い負かした。|сестренка переспорила старшую сестру.,,,
言い漏らす,いいもらす,"оставить тему нераскрытой, оставить недосказанности; бросить интригу, но ничего не рассказать",言う,漏らす,VV,tr,私は注意点を言い漏らしてしまった。|私はちゅういてんを言い漏らしてしまった。|Я не рассказал им об особо важных моментах.,,,
言い寄る,いいよる,"Сближаться, добиваться сближения",言う,寄る,VV,intr,彼は彼女に言い寄った。|彼は彼女に言い寄った。|Он с ней заигрывал,,,
言い渡す,いいわたす,старший человек по статусу информирует человека статусом ниже; приговаривать,言う,渡す,VV,tr,無罪の判決を言い渡す。|むざいのはんけつを言い渡す。|Признать кого-то невиновным.,,,
射落とす,いおとす,"попасть в яблочко, застрелить стрелами | выиграть, достигнуть целей",射る,落とす,VV,tr,,"2| 彼は、あこがれていた女性のハートを射落とした。|彼は、あこがれていた女性のハートを射落とした。|Он добился сердца девушки, которую желал.",,
射掛ける,いかける,запустить стрелы или пули в противника,射る,掛ける,VV,tr,彼らは敵陣に矢を射掛けた。|彼らはてきじんにやを射掛けた。|Они начали стрелять стрелами по врагам,,,
怒り狂う,いかりくるう,словно обезумить от злости,怒り,狂う,VV,intr,彼は怒り狂っていた。|彼は怒り狂っていた。|Он был вне себя от ярости.,,,
行き合う,いきあう,случайно с кем-то встретиться,行く,合う,VV,intr,私は昔の友達とばったり行き合った。|私は昔の友達とばったり行き合った。|Я случайно встретился со своим старым приятелем,,,
行き当たる,いきあたる,двигаться (физически) вперёд и наткнуться на препятствие | вести бизнес и столкнуться со сложностями,行く,当たる,VV,intr,,2| 私たちは問題に行き当たった。|私たちはもんだいに行き当たった。|Мы столкнулись с проблемой.,,
行き合わせる,いきあわせる,"случилось встретиться, случилось пройти мимо",行く,合わせる,VV,intr,私たちは偶然学校の文化祭に行き合わせた。|私たちはぐうぜんがっこうのぶんかさいに行き合わせた。|Мы случайно повстречались на школьном фестивале.,,,
生き急ぐ,いきいそぐ,"спешить быстрее прожить жизнь, спешить на тот свет",行く,急ぐ,VV,intr,"父は生き急ぐかのようにせっかちだ | ちちはいきいそぐかのようにせっかちだ |  Отец такой нетерпеливый, словно спешит быстрее прожить эту жизнь ",,,
行き交う,いきかう,ходить взад и вперед о незнакомых людях (напр. за окном) | приходить друг к другу (о знакомых людях),行く,交わす,VV,intr,行き交う人は多い  | いきかうひとはおおい |  много спешащих мимо прохожих,,,
生き返る,いきかえる,"возвращаться к жизни, оживать, приходить в себя",行く,返る,VV,intr,休暇をとって生き返ったようだ | きゅうかをとっていきかえったようだ | взял отпуск и словно ожил,,,
行き通う,いきかよう/ユキカヨウ,"приходить и уходить, приезжать и уезжать",行く,通う,VV,intr,"川を行き通う舟 | かわをゆきかようふね  | Лодки, которые плавают туда-сюда по реке",,,
行き着く,いきつく,"прибывать, добираться куда-то (после длительного путешествия)",行く,着く,VV,intr,彼らは、やっと目的地に行き着いた。|彼らは、やっともくてきちに行き着いた。| Они наконец-то добрались до пункта назначения,,,
行き詰まる,いきづまる,"зайти в тупик, застрять, перестать прогрессировать",行く,詰める,VV,intr,会社の経営が行き詰まった。| かいしゃのけいえいがゆきづまった。| Руководство компании зашло в тупик ,,,
行き届く,いきとどく,"быть внимательным (тщательным, заботливым)",行く,届く,VV,intr,庭の手入れが行き届いている。|にわのていれが行き届いている。|За садом тщательно ухаживают.,,,
行き悩む,いきなやむ,"зайти в тупик (особенно о переговорах); идти не так, как ожидалось",行く,悩む,VV,intr,渉は行き悩んでいる。| わたるはゆきなやんでいる。| переговоры зашли в тупик,,,
生き抜く,いきぬく,"выжить и не умереть при тяжелых обстоятельствах, уцелеть",生きる,抜く,VV,tr,彼は過酷な状況を生き抜いた。|かれはかこくなじょうきょうをいきぬいた。| Он выжил в достаточно тяжелых обстоятельствах,,,
生き残る,いきのこる,"выжить, уцелеть, остаться в живых",生きる,残る,VV,intr,彼ら全員が生き残った。|彼らぜんいんが生き残った。| Все они выжили.,,,
生き延びる,いきのびる," переживать кого-то, выживать, остаться в живых (там, где возможным исходом могла бы быть смерть)",生きる,延びる,VV,intr,船が沈没して船長だけ生き残った。|ふねがちんぼつしてせんちょうだけいきのこった。| Судно затонуло и в живых остался только капитан,,,
行き渡る,いきわたる,"распространяться повсюду, хватать всем, доставаться всем",生きる,渡る,VV,intr,記念品は出席者全員に行き渡った。|きねんひんはしゅっせきしゃぜんいんにいきわたった。|Памятные подарки достались всем присутствующим,,,
生け捕る,いけどる,"Cхватить живым, взять живьём",生きる,捕る,VV,tr,敵の大将を生け捕る。|てきのたいしょうをいけどる。| Вражеского главаря схватили живьём,,,
鋳込む,いこむ,отливать (о работе с металлом),鋳,込む,VV,tr,溶融金属を鋳込むための方法。| ようゆうきんぞくをいこむためのほうほう。| Способ работы с расплавленным золотом,,,
勇み立つ,いさみたつ,"утешиться, ободриться",勇む,たつ,VV,tr,その報告に一行は勇み立った。|そのほうこくにいちぎょうはいさみたった。|Услышав доложенное вся партия воодушевилась,,,
,,,,,,,,,,
居座る,いすわる,оставаться на том же месте,居る,座る,VV,intr,会長のポストに居座る。|かいちょうのポストにいすわる。|Оставаться на посту президента .,,,
痛み入る,いたみいる,быть глубоко признательным: слово кейго,痛む,入る,VV,intr,あなたのご親切痛み入ります。|あなたのごしんせつ痛み入ります。|Ваша доброта делает меня глубоко признательным.,,,
痛め付ける,いためつける,"причинять кому-то боль душевную, либо физическую",痛める,付ける,VV,tr,"ムカつく奴は容赦なく痛め付ける。|ムカつくやつはようしゃなくいためつける。|беспощадно ранить типа, который выводит из себя",,,
居着く,いつく,"надолго поселиться, обосноваться",居る,着く,VV,intr,のら犬が家に居着く。|のらいぬがいえにいつく。| бродячий пёс поселился в доме,,,
出で立つ,いでたつ,"Уезжать, отбывать",出る,立つ,VV,intr,彼は狩りに出で立った。|かれはかりにいでたった。| он отправился на охоту,,,
凍て付く,いてつく,"замерзать, обмерзать",凍てる,付く,VV,intr,凍て付いた朝の道。|いてついたあさのみち。| замёрзшая утренняя дорога,,,
射止める,いとめる,"подстрелить, застрелить | пер. завоевать",射る,止める,VV,tr,  1| 熊を射止める。|くまをいとめる 。|  подстрелить медведя   ,2|彼女の心を射止める。| かのじょのこころをいとめる 。| завоевать сердце девушки,,
居直る,いなおる,"осознав свою слабую позицию, вести себя агрессивно",居る,直る,VV,intr,"わびるどころか、居直って相手を非難する。|わびるどころか、いなおってあいてをひなんする。|какой там извиниться, вообще агрессивно набрасывается на своего оппонента",,,
射抜く,いぬく,прострелить цель одним выстрелом,射る,抜く,VV,tr,彼はトラの頭を射抜いた。|かれはトラのあたまをいぬいた。|Он пробил голову тигру одним выстрелом,,,
居残る,いのこる,"оставаться после работы или уроков, когда остальные ушли",居る,残る,VV,intr,私はいつも会社に居残る。|わたしはいつもかいしゃにいのこる。|Я всегда остаюсь в офисе после работы. (когда все остальные ушли),,,
威張り散らす,いばりちらす,"властвовать, важничать, верховодить (без необходимости и без уважения к остальным)",威張る,散らす,VV,intr,不当に威張り散らす。|ふとうにいばりちらす。|необоснованно проявлять властный характер,,,
忌み嫌う,いみきらう,"чувствовать отвращение, испытывать отвращение",忌む,嫌う,VV,tr,俗物根性を忌み嫌う。|ぞくぶつこんじょうをいみきらう。|На дух не переносить снобизм,,,
入り組む,いりくむ,"быть сложным, осложняться, запутываться",入る,組む,VV,intr,いろいろな事柄が複雑に入り組む。|いろいろなことがらがふくざつに入り組む。|Все так сложно и запутанно… ,,,
炒り付ける,いりつける,"жарить, варить пока в продуктах не останется мало жидкости",炒る,付ける,VV,tr,"だし汁を加えて炒りつける。|だしじるをくわえていりつける。| варить до выпаривания жидкости, предварительно добавив даси",,,
入り浸る,いりびたる,"засиживаться где-то (если место не является домом), проводить всё время где-то",入る,浸る,VV,intr,彼はパチンコ屋に入り浸っている。|かれはぱちんこやにいりびたっている。| он всё своё время проводит за игрой в патинко,,,
入り混じる,いりまじる,смешиваться в одном месте (о совершенно разных вещах),入れる,混じる,VV,intr,すぐれたものとつまらぬものが入り混じっている。|すぐれたものとつまらぬものがいりまじっている。| Всё великолепное и никчемное вперемешку,,,
入り乱れる,いりみだれる,перемешиваться в беспорядке (когда сложно понять где и что),入る,乱れる,VV,intr,"敵味方入り乱れての混戦となった。|てきみかたいりみだれてのこんせんとなった。| схватка была такой, что сложно было понять: где друг, а где враг",,,
入れ揚げる,いれあげる,тратиться (напр. на любовницу или удовольствия),入る,揚げる,VV,intr,彼は最近、あるバーのホステスに入れ揚げている。|かれはさいきん、あるバーのホステスにいれあげている。|Он в последнее время тратится на какую-то девушку из хост-клаба,,,
入れ替える,いれかえる,"заменять, обновлять",入る,替える,VV,tr,入れ替えるための刃。|入れ替えるための刃。|лезвие для замены.,,,
,,,,,,,,,,
入れ違う,いれちがう,разминуться с кем-то при выходе | положить что-то не так,入る,違う,VV,intr,,2| 箱と中身が入れ違っていた。|はことなかみが入れ違っていた。|содержимое коробок не совпадает с самой коробкой,,
入れ混ぜる,いれまぜる,"смешивать, перемешивать что-то",入る,混ぜる,VV,tr,私はボウルに卵と海老を入れ混ぜた。|私はボウルにたまごとえびを入れ混ぜた。|Я сешал в чаше яйцо и мясо креветок.,,,
色めき立つ,いろめきたつ,быть чрезвычайно взволнованным (из-за возбуждения или нервозности),色めく,立つ,VV,intr,緊急動議に議場は色めき立った。|きんきゅうどうぎにぎじょうはいろめきたった。| из-за экстренного вопроса в зале заседания люди были взволнованы ,,,
植え替える,うえかえる,пересаживать расстения,植える,替える,VV,tr,私はチューリップを庭に植え替えた。|私はチューリップを庭に植え替えた。|Я пересадил тюльпан в сад.,,,
植え込む,うえこむ,высаживать растения (чтобы те пустили корни),植える,込む,VV,tr,ツツジを植え込む。|ツツジをうえこむ。| высаживать рододендрон,,,
うかがい知る,うかがいしる,"догадываться, восстанавливать общую картину",うかがう,知る,VV,tr,表情から自信のほどをうかがい知る。|ひょうじょうからじしんのほどをうかがいしる。| по выражению лица догадываться о степени уверенности человека,,,
浮かび上がる,うかびあがる,"всплывать (из воды)| высплывать на поверхность, появляться откуда-то (о фактах, людях)",浮かぶ,上がる,VV,intr,1|空のドラム缶が浮かび上がってきた。|そらのどらむかんがうかびあがってきた。| пустая стальная бочка всплыла на поверхность ,2|新しい事実が浮かび上がった。|あたらしいじじつがうかびあがった。| Всплыли новые факты,,
浮かび出す,うかびだす,появиться на поверхности чего-то,浮かぶ,出す,VV,intr,"目の前に半透明の板のようなものが浮かび出した。|めのまえにはんとうめいのいたのようなものがうかびだした。| перед глазами появился предмет, напоминающий полупрозрачную доску",,,
浮かび出る,うかびでる,"появляться на поверхности, всплывать",浮かぶ,出る,VV,intr,悔しさが表情に浮かび出る。|くやしさがひょうじょうにうかびでる。| на лице появилось выражение досады,,,
浮かれ歩く,うかれあるく,прогуливаться (навеселе),浮かぶ,歩く,VV,intr,彼は町を浮かれ歩いた。|彼は町を浮かれ歩いた。|Он слонялся по городу.,,,
浮かれ出る,うかれでる,выходить в приподнятом настроении (с лёгкостью на душе),浮かれる,出る,VV,intr,"春の陽気に誘われて、人々は花見に浮かれ出た。|春の陽気に誘われて、人々は花見に浮かれ出た。|Воодушевившись тёплыми лучами весеннего солнца, люди вышли в приподнятом настроении любоваться цветами сакуры",,,
浮き上がる,うきあがる,"всплывать, быть поднятым| подняться на поверхность (о чём-то прибитом к земле, но сломанном) под воздействием силы| быть изгоем в группе людей| выдаваться, резко выступать (напр. о тексте)",浮き,上がる,VV,intr,1|池の魚が酸欠で大量に浮き上がった。|いけのさかながさんけつでたいりょうにうきあがった。|рыба в пруду всплыла на поверхность в больших количествах из-за недостатка кислорода ,2|地震で土台が浮き上がった。|じしんでどだいがうきあがった。| из-за землетрясения фундамент дома сорван,3|彼らはあまりに急進的で大衆から浮き上がっている - они изгои общества из-за своих радикальных взглядов,
浮き出す,うきだす,выходить на поверхность | бросаться в глаза (напр. о чем-то напечатанном),浮き,出す,VV,intr,,"2|雨に洗われて看板の文字がくっきり浮き出して見えた。|あめにあらわれてかんばんのもじがくっきりうきだしてみえた。| Буквы на вывеске, вымытые дождём, отчетливо виднелись",,
